1.250187338236002088e-01,2.375136804770175691e-01,3.096942141538952531e-01,4.335108541824495565e-01,4.963951697732177371e-01
1.786045285900716151e-01,3.280504246754682440e-01,4.188152836826598002e-01,5.387165646303644362e-01,5.666555354613386219e-01
2.416955882370785125e-01,4.258674933833768717e-01,5.297435397534705492e-01,6.399738310641925887e-01,6.490346927954464551e-01
3.132089934565968625e-01,5.259850549108696649e-01,6.289866967548266574e-01,7.346806348127113973e-01,7.251359280813804986e-01
3.935901074083034690e-01,6.260742434252776212e-01,7.235700085866576536e-01,8.116392666260833222e-01,7.939946022225856659e-01
4.780861462666173289e-01,7.226246351355656294e-01,8.110057802010680605e-01,8.700861580464345213e-01,8.459803284304970861e-01
5.676019512026486691e-01,8.067526719253215184e-01,8.762141979678773618e-01,9.186605152287163900e-01,8.899750025827638522e-01
6.596344591641372102e-01,8.759096021120492681e-01,9.246614577244228750e-01,9.518203451443497665e-01,9.320688520504334384e-01
7.518231893882325600e-01,9.287313621719994750e-01,9.604335376914970857e-01,9.708131735827877362e-01,9.519999986758779231e-01
8.489832517193528494e-01,9.685197589420722064e-01,9.857244766380800494e-01,9.895547436192857482e-01,9.733903741442790913e-01
9.374445594850737695e-01,9.920860894407114161e-01,9.969015568589123522e-01,9.969999867481479372e-01,9.870766117540652473e-01
