1.898731169498167892e-01,3.221064671373735644e-01,3.963583602424232133e-01,4.789313503781895687e-01,4.983103732796792529e-01
2.179957379898364578e-01,3.545099748123922145e-01,4.249637259686864232e-01,4.825514160491362059e-01,4.947830251226735254e-01
2.458014737493517676e-01,3.742002625272164429e-01,4.332537110605561015e-01,4.625985263735756803e-01,4.761169820541969466e-01
2.627145154964627416e-01,3.775532780407005462e-01,4.197827936310945529e-01,4.270330967479999407e-01,4.453780949540307454e-01
2.722477735139943178e-01,3.627510932011174249e-01,3.855553231331729780e-01,3.760208058833871547e-01,4.030104974323990841e-01
2.736964541531749506e-01,3.308274867245757922e-01,3.337727765480540398e-01,3.226452209678510319e-01,3.603116884918688423e-01
2.660707063739360945e-01,2.918342350600173218e-01,2.801848752392736008e-01,2.594957075263534807e-01,3.113263547434256817e-01
2.511687232406454306e-01,2.417742293909197482e-01,2.228540507925217129e-01,2.045807332996502359e-01,2.503142754758601041e-01
2.269103668502489846e-01,1.847425372706635871e-01,1.628160117840080079e-01,1.624570823429581645e-01,2.137662245578064446e-01
1.799164432456244189e-01,1.170794364914496261e-01,9.745378486721655020e-02,9.712186121009086515e-02,1.601985312641639458e-01
1.175200707783106702e-01,6.018046150564033969e-02,5.081535885388827056e-02,5.469003139970870370e-02,1.126304977491510290e-01
