9.723223505439007042e-01,2.599339937412964208e+00,5.123232425128096956e+00,4.966087847063316474e+01,1.198448879068933820e+04
1.206647237114597981e+00,3.171375684293105568e+00,6.613022329819931322e+00,6.927166932253247467e+01,1.641033948817062264e+04
1.423750179854087250e+00,3.669605902880440418e+00,8.181191424605273710e+00,9.192252206374965340e+01,2.133530160402351248e+04
1.629676846289686454e+00,4.116480891442047430e+00,9.906039804521881820e+00,1.177235945197151921e+02,2.685813112720867866e+04
1.790922266218202497e+00,4.524708282145980753e+00,1.180620008773905028e+01,1.464409964762410823e+02,3.293041676574276062e+04
1.881652907193748669e+00,4.873847469340473637e+00,1.384954620813048543e+01,1.768774248801727822e+02,3.936140309948904905e+04
1.908637321038801682e+00,5.166510639536594951e+00,1.596605194486332913e+01,2.088813023883311075e+02,4.612234537587949308e+04
1.849660376851812282e+00,5.498695923955507325e+00,1.823372047761671766e+01,2.419191854532621448e+02,5.316978691681969940e+04
1.720425150050881591e+00,5.908547681214289859e+00,2.060420966495348338e+01,2.756779384150125338e+02,6.038399523518088245e+04
1.534093537188221834e+00,6.408431109524607372e+00,2.308722418743925431e+01,3.101702428511119933e+02,6.769869965271014371e+04
1.305048305333291081e+00,6.981941492442833130e+00,2.567306489494480459e+01,3.452407305960705344e+02,7.506912610750063322e+04
